Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-maori-descent.json	1374	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	86	80	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-messaging-address.json	3206	0	0	2	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	131	90	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-nz-citizenship.json	3228	1	0	2	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	139	86	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-nz-ethnicity.json	2842	0	0	18	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	101	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-nz-geocode.json	4084	1	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	175	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-nz-iwi.json	1575	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	96	75	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-nz-residency.json	2852	1	0	2	1	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	137	108	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-nzeps-long-term-medication.json	2365	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	76	70	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-nzeps-supply-period-reason.json	2209	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	93	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-nzeps-unusual-dose-quantity.json	2257	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	91	70	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-nzf-atc.json	1933	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	101	68	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-nzf-nzmt-type.json	2056	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	82	76	0	0	0	1	0	0
